EPA_organisation_identifier,EPA_organisation (lookup auto-populated),Standard_code,StandardName (lookup auto-populated),Delivery_area,,,
EPA0021,University of Bradford,75,Outside Broadcasting Engineer,Yorkshire and the Humber,,,
EPA0022,Innovate Awarding Limited,93,Commis Chef,All,,,
EPA0022,Innovate Awarding Limited,122,Customer Service Practitioner,All,,,
EPA0022,Innovate Awarding Limited,147,Retail Manager,All,,,
EPA0022,Innovate Awarding Limited,102,Healthcare Assistant Practitioner,All,,,
EPA0022,Innovate Awarding Limited,103,Healthcare Support Worker,All,,,
EPA0022,Innovate Awarding Limited,96,Hospitality Team Member,All,,,
EPA0022,Innovate Awarding Limited,104,Operations/Departmental Manager,All,,,
EPA0022,Innovate Awarding Limited,105,Team Leader/Supervisor,All,,,
EPA0022,Innovate Awarding Limited,140,Retail Team Leader,All,,,
EPA0022,Innovate Awarding Limited,118,Lead Adult Care Worker,All,,,
EPA0022,Innovate Awarding Limited,101,Retailer,All,,,
EPA0022,Innovate Awarding Limited,119,Adult Care Worker,All,,,
EPA0022,Innovate Awarding Limited,138,Hospitality Supervisor,All,,,
EPA0022,Innovate Awarding Limited,151,Senior Healthcare Support Worker,All,,,
EPA0022,Innovate Awarding Limited,36,Public Service Operational Delivery Officer,All,,,
EPA0022,Innovate Awarding Limited,139,Senior Chef Production Cooking,All,,,
EPA0023,The Institute of the Motor Industry,59,Motor Vehicle Service and Maintenance Technician (light vehicle),All,,,
EPA0023,The Institute of the Motor Industry,134,Bus and Coach Engineering Technician,All,,,
EPA0023,The Institute of the Motor Industry,135,Heavy Vehicle Service and Maintenance Technician,All,,,
EPA0024,Babcock Assessments Ltd,93,Commis Chef,All,,,
EPA0024,Babcock Assessments Ltd,96,Hospitality Team Member,All,,,
EPA0024,Babcock Assessments Ltd,101,Retailer,All,,,
EPA0024,Babcock Assessments Ltd,138,Hospitality Supervisor,All,,,
EPA0024,Babcock Assessments Ltd,139,Senior Chef Production Cooking,All,,,
EPA0024,Babcock Assessments Ltd,140,Retail Team Leader,All,,,
EPA0024,Babcock Assessments Ltd,105,Team Leader/Supervisor,All,,,
EPA0024,Babcock Assessments Ltd,147,Retail Manager,All,,,
EPA0025,Chartered Institute of Procurement and Supply,73,Public Sector Commercial Professional,All,,,
EPA0026,Chartered Management Institute,55,Chartered Manager Degree Apprenticeship,All,,,
EPA0026,Chartered Management Institute,104,Operations/Departmental Manager,All,,,
EPA0026,Chartered Management Institute,105,Team Leader/Supervisor,All,,,
EPA0027,NET,5,Installation Electrician/Maintenance Electrician,All,,,
EPA0028,Science Industry Assessment Service,14,Laboratory Technician,All,,,
EPA0028,Science Industry Assessment Service,44,Laboratory Scientist,All,,,
EPA0028,Science Industry Assessment Service,15,Science Manufacturing Technician,All,,,
EPA0028,Science Industry Assessment Service,45,Science Industry Maintenance Technician,All,,,
EPA0029,Chartered Banker Institute,28,Financial Services Customer Adviser,All,,,
EPA0029,Chartered Banker Institute,31,Senior Financial Services Customer Adviser,All,,,
EPA0029,Chartered Banker Institute,7,Relationship Manager (Banking),All,,,
EPA0030,University of Exeter,25,Digital and Technology Solutions Professional,All,,,
EPA0031,The Association of Accounting Technicians,117,Professional Accounting Taxation Technician,All,,,
EPA0031,The Association of Accounting Technicians,133,Assistant Accountant,All,,,
EPA0032,Adalta Development Ltd,104,Operations/Departmental Manager,All,,,
EPA0032,Adalta Development Ltd,105,Team Leader/Supervisor,All,,,
EPA0033,NCFE/CACHE,122,Customer Service Practitioner,All,,,
EPA0033,NCFE/CACHE,93,Commis Chef,All,,,
EPA0033,NCFE/CACHE,96,Hospitality Team Member,All,,,
EPA0033,NCFE/CACHE,139,Senior Chef Production Cooking,All,,,
EPA0033,NCFE/CACHE,138,Hospitality Supervisor,All,,,
EPA0033,NCFE/CACHE,104,Operations/Departmental Manager,All,,,
EPA0033,NCFE/CACHE,105,Team Leader/Supervisor,All,,,
EPA0033,NCFE/CACHE,128,Associate Project Manager,All,,,
EPA0033,NCFE/CACHE,119,Adult Care Worker,All,,,
EPA0033,NCFE/CACHE,61,Dental Nurse,All,,,
EPA0033,NCFE/CACHE,20,Dental Practice Manager,All,,,
EPA0033,NCFE/CACHE,102,Healthcare Assistant Practitioner,All,,,
EPA0033,NCFE/CACHE,103,Healthcare Support Worker,All,,,
EPA0033,NCFE/CACHE,118,Lead Adult Care Worker,All,,,
EPA0033,NCFE/CACHE,159,Event Assistant,All,,,
EPA0033,NCFE/CACHE,151,Senior Healthcare Support Worker,All,,,
EPA0034,VQ Solutions Ltd,78,Digital Marketer,All,,,
EPA0035,The Maritime and Coastguard Agency,34,Able Seafarer (Deck),All,,,
EPA0036,BESA Training,49,Refrigeration Air Conditioning and Heat Pump Engineering Technician,All,,,
EPA0037,ProQual AB,80,Data Analyst,All,,,
EPA0037,ProQual AB,79,Cyber Intrusion Analyst,All,,,
EPA0037,ProQual AB,68,Junior Energy Manager,All,,,
EPA0037,ProQual AB,104,Operations/Departmental Manager,All,,,
EPA0038,Association of Chartered Certified Accountants ,117,Professional Accounting Taxation Technician,All,,,
EPA0039,BIIAB,93,Commis Chef,All,,,
EPA0039,BIIAB,96,Hospitality Team Member,All,,,
EPA0039,BIIAB,101,Retailer,All,,,
EPA0039,BIIAB,140,Retail Team Leader,All,,,
EPA0039,BIIAB,122,Customer Service Practitioner,All,,,
EPA0039,BIIAB,138,Hospitality Supervisor,All,,,
EPA0039,BIIAB,105,Team Leader/Supervisor,All,,,
EPA0040,The Centre for Housing and Support (part of The Cornwall College Group),65,Housing/Property Management,All,,,
EPA0040,The Centre for Housing and Support (part of The Cornwall College Group),64,Housing/Property Management Assistant,All,,,
EPA0040,The Centre for Housing and Support (part of The Cornwall College Group),66,Senior Housing/Property Management,All,,,
EPA0041,DSW Consulting,8,Financial Services Administrator,All,,,
EPA0041,DSW Consulting,62,Mortgage Adviser,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),101,Retailer,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),119,Adult Care Worker,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),93,Commis Chef,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),138,Hospitality Supervisor,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),96,Hospitality Team Member,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),118,Lead Adult Care Worker,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),122,Customer Service Practitioner,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),104,Operations/Departmental Manager,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),105,Team Leader/Supervisor,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),110,Large Goods Vehicle (LGV) Driver,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),109,Supply Chain Operator,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),111,Supply Chain Warehouse Operative,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),140,Retail Team Leader,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),147,Retail Manager,All,,,
EPA0044,The Colleges' Partnership Ltd,1,Network Engineer,All,,,
EPA0045,Occupational Awards Limited,129,Food and Drink Advanced Process Operator,All,,,
EPA0045,Occupational Awards Limited,130,Food and Drink Process Operator,All,,,
EPA0045,Occupational Awards Limited,137,Furniture Manufacturer,All,,,
EPA0046,Management Focus,55,Chartered Manager Degree Apprenticeship,All,,,
EPA0047,QFI,92,Engineering Design and Draughtsperson,All,,,
EPA0048,South West Councils,105,Team Leader/Supervisor,South West,,,
EPA0048,South West Councils,104,Operations/Departmental Manager,South West,,,
EPA0049,TWI Certification Ltd,94,Welding,All,,,
EPA0049,TWI Certification Ltd,95,Welding,All,,,
EPA0049,TWI Certification Ltd,35,Nuclear Welding Inspection Technician,All,,,
EPA0050,ICAEW,117,Professional Accounting Taxation Technician,All,,,
EPA0051,NSAN,46,Nuclear Health Physics Monitor,All,,,
EPA0052,Scottish Qualifications Authority (SQA),39,Conveyancing Technician,All,,,
EPA0052,Scottish Qualifications Authority (SQA),40,Licensed Conveyancer,All,,,
EPA0053,Active IQ,122,Customer Service Practitioner,All,,,
EPA0053,Active IQ,105,Team Leader/Supervisor,All,,,
EPA0054,Skillsfirst Assess,119,Adult Care Worker,All,,,
EPA0054,Skillsfirst Assess,122,Customer Service Practitioner,All,,,
EPA0054,Skillsfirst Assess,118,Lead Adult Care Worker,All,,,
EPA0054,Skillsfirst Assess,105,Team Leader/Supervisor,All,,,
EPA0055,The Institution of Engineering and Technology,114,Aircraft Maintenance Certifying Engineer,All,,,
EPA0055,The Institution of Engineering and Technology,107,Embedded Electronic Systems Design and Development Engineer,All,,,
EPA0055,The Institution of Engineering and Technology,88,Rail Engineering Advanced Technician,All,,,
EPA0055,The Institution of Engineering and Technology,89,Rail Engineering Technician,All,,,
EPA0055,The Institution of Engineering and Technology,24,Railway Engineering Design Technician,All,,,
EPA0055,The Institution of Engineering and Technology,167,Engineering Technician,All,,,
EPA0056,cHRysos HR Solutions Ltd,104,Operations/Departmental Manager,All,,,
EPA0056,cHRysos HR Solutions Ltd,105,Team Leader/Supervisor,All,,,
EPA0057,Future (Awards and Qualifications) Ltd,156,Associate Ambulance Practitioner,All,,,
EPA0058,iCQ,122,Customer Service Practitioner,All,,,
EPA0058,iCQ,96,Hospitality Team Member,All,,,
EPA0058,iCQ,105,Team Leader/Supervisor,All,,,
EPA0059,IRSE Enterprises Ltd,24,Railway Engineering Design Technician,All,,,
EPA0059,IRSE Enterprises Ltd,89,Rail Engineering Technician,All,,,
EPA0060,Institution of Mechanical Engineers,114,Aircraft Maintenance Certifying Engineer,All,,,
EPA0060,Institution of Mechanical Engineers,88,Rail Engineering Advanced Technician,All,,,
EPA0060,Institution of Mechanical Engineers,89,Rail Engineering Technician,All,,,
EPA0060,Institution of Mechanical Engineers,24,Railway Engineering Design Technician,All,,,
EPA0060,Institution of Mechanical Engineers,167,Engineering Technician,All,,,
EPA0012,Leicester College,23,Property Maintenance Operative,West Midlands,,,
EPA0061,Training Qualifications UK,118,Lead Adult Care Worker,All,,,
EPA0061,Training Qualifications UK,119,Adult Care Worker,All,,,
EPA0061,Training Qualifications UK,96,Hospitality Team Member,All,,,
EPA0061,Training Qualifications UK,93,Commis Chef,All,,,
EPA0061,Training Qualifications UK,138,Hospitality Supervisor,All,,,
EPA0062,The Army Catering Trust,93,Commis Chef,All,,,
EPA0062,The Army Catering Trust,138,Hospitality Supervisor,All,,,
EPA0063,Liverpool John Moores University,25,Digital and Technology Solutions Professional,North West,,,
EPA0064,AIM Awards,85,Assistant Technical Director (visual effects),All,,,
EPA0064,AIM Awards,84,Junior 2D artist  ,All,,,
EPA0065,Aston University,25,Digital and Technology Solutions Professional,West Midlands,,,
EPA0066,Institute of Certified Bookkeepers,133,Assistant Accountant,All,,,
EPA0067,SSL Assessment Services Partnership ,105,Team Leader/Supervisor,All,,,
EPA0068,APMG-International,128,Associate Project Manager,All,,,
EPA0069,VTCT,157,Hair Professional,All,,,
EPA0070,Association of Taxation Technicians,117,Professional Accounting Taxation Technician,All,,,
EPA0071,Manpower Services Ltd ,101,Retailer,All,,,
EPA0072,GP Strategies Assessment Services,119,Adult Care Worker,All,,,
EPA0072,GP Strategies Assessment Services,118,Lead Adult Care Worker,All,,,
EPA0072,GP Strategies Assessment Services,104,Operations/Departmental Manager,All,,,
EPA0072,GP Strategies Assessment Services,105,Team Leader/Supervisor,All,,,
EPA0073,Lantra Awards,125,Highway Electrical Maintenance and Installation Operative,All,,,
EPA0074,DiVA Apprenticeships Ltd,112,Broadcast Production Assistant,London,,,
EPA0075,Anglia Ruskin University,25,Digital and Technology Solutions Professional,All,,,
EPA0039,BIIAB,147,Retail Manager,All,,,
EPA0014,NOCN,146,Maintenance & Operations Engineering Technician,All,,,
EPA0077,Smart Awards,26,Dual Fuel Smart Meter Installer,All,,,
EPA0077,Smart Awards,155,Unified Communications Technician,All,,,
EPA0076,Leeds Beckett University,25,Digital and Technology Solutions Professional,All,,,
EPA0076,Leeds Beckett University,24,Chartered Manager Degree Apprenticeship,All,,,
EPA0041,DSW Consulting,60,Insurance Practitioner,All,,,
EPA0041,DSW Consulting,63,Insurance Professional,All,,,
EPA0024,Babcock Assessments Ltd,119,Adult Care Worker,All,,,
EPA0024,Babcock Assessments Ltd,118,Lead Adult Care Worker,All,,,
EPA0033,NCFE/CACHE,140,Retail Team Leader,All,,,
EPA0033,NCFE/CACHE,101,Retailer,All,,,
EPA0014,NOCN,140,Retail Team Leader,All,,,
EPA0078,University of Sunderland ,25,Digital and Technology Solutions Professional,North East,,,
EPA0008,City and Guilds,78,Digital Marketer,All,,,
EPA0041,DSW Consulting,29,Investment Operations Administrator,All,,,
EPA0041,DSW Consulting,32,Workplace Pensions (Administrator or Consultant),All,,,
EPA0006,Chartered Institute of Housing,64,Housing/Property Management Assistant,All,,,
EPA0006,Chartered Institute of Housing,65,Housing/Property Management,All,,,
EPA0006,Chartered Institute of Housing,66,Senior Housing/Property Management,All,,,
EPA0081,University of the West of England,25,Digital and Technology Solutions Professional,All,,,
EPA0079,Instructus,140,Retail Team Leader,All,,,
EPA0080,Institution of Civil Engineers,24,Railway Engineering Design Technician,All,,,
EPA0082,SFJ Awards,36,Public Service Operational Delivery Officer,All,,,
EPA0083,The Real Apprenticeship Company,110,Large Goods Vehicle (LGV) Driver,All,,,
EPA0084,Royal Aeronautical Society,167,Engineering Technician,All,,,
EPA0001,"BCS, The Chartered Institute for IT",142,IT Technical Salesperson,All,,,
EPA0001,"BCS, The Chartered Institute for IT",154,Software Development Technician,All,,,
EPA0001,"BCS, The Chartered Institute for IT",155,Unified Communications Technician,All,,,
EPA0001,"BCS, The Chartered Institute for IT",165,IS Business Analyst,All,,,
EPA0041,DSW Consulting,31,Senior Financial Services Customer Adviser,All,,,
EPA0041,DSW Consulting,153,Financial Adviser,All,,,
EPA0041,DSW Consulting,105,Team Leader/Supervisor,All,,,
EPA0041,DSW Consulting,48,Paraplanner,All,,,
EPA0041,DSW Consulting,28,Financial Services Customer Adviser,All,,,
EPA0041,DSW Consulting,83,Junior Management Consultant,All,,,
EPA0014,NOCN,147,Retail Manager,All,,,
EPA0014,NOCN,7,Relationship Manager (Banking),All,,,
EPA0014,NOCN,148,Advanced Credit Controller / Debt Collection Specialist,All,,,
EPA0014,NOCN,150,Healthcare Science Associate,All,,,
EPA0085,Royal Naval Apprenticeships,108,HM Forces Serviceperson (Public Services),All,,,
EPA0039,BIIAB,104,Operations/Departmental Manager,All,,,
EPA0051,NSAN,163,Nuclear Technician,All,,,
EPA0045,Occupational Awards Limited,131,Food Technologist,All,,,
EPA0045,Occupational Awards Limited,16,Food and Drink Maintenance Engineer,All,,,
EPA0045,Occupational Awards Limited,104,Operations/Departmental Manager,All,,,
EPA0045,Occupational Awards Limited,105,Team Leader/Supervisor,All,,,
EPA0073,Lantra Awards,124,Highway Electrician / Service Operative,All,,,
EPA0086,Babcock Engineering Assessments,89,Rail Engineering Technician,All,,,
EPA0058,iCQ,101,Retailer,All,,,
EPA0058,iCQ,147,Retail Manager,All,,,
EPA0058,iCQ,140,Retail Team Leader,All,,,
EPA0071,Manpower Services Ltd ,140,Retail Team Leader,All,,,
EPA0071,Manpower Services Ltd ,147,Retail Manager,All,,,
EPA0014,NOCN,93,Commis Chef,All,,,
EPA0014,NOCN,143,Compliance / Risk Officer,All,,,
EPA0014,NOCN,138,Hospitality Supervisor,All,,,
EPA0014,NOCN,96,Hospitality Team Member,All,,,
EPA0014,NOCN,29,Investment Operations Administrator,All,,,
EPA0014,NOCN,33,Investment Operations Technician,All,,,
EPA0014,NOCN,104,Operations/Departmental Manager,All,,,
EPA0014,NOCN,151,Senior Healthcare Support Worker,All,,,
EPA0014,NOCN,139,Senior Chef Production Cooking,All,,,
EPA0011,FDQ Ltd,152,Advanced Butcher,All,,,
EPA0008,City and Guilds,93,Commis Chef,All,,,
EPA0008,City and Guilds,96,Hospitality Team Member,All,,,
EPA0039,BIIAB,139,Senior Chef Production Cooking,All,,,
EPA0039,BIIAB,169,Chef De Partie,All,,,
EPA0087,Further Training Ltd,104,Operations/Departmental Manager,"North West, East Midlands & West Midlands", , ,
EPA0088,University of Cumbria,47,Nuclear Scientist and Nuclear Engineer,All,,,
EPA0089,Ginger Nut Training,78,Digital Marketer,All,,,
EPA0090,BPEC Certification Ltd,26,Dual Fuel Smart Meter Installer,All,Changed to All England 23/11/2017@BPEC request,,
EPA0072,GP Strategies Assessment Services,140,Retail Team Leader,All,,,
EPA0072,GP Strategies Assessment Services,147,Retail Manager,All,,,
EPA0072,GP Strategies Assessment Services,101,Retailer,All,,,
EPA0072,GP Strategies Assessment Services,111,Supply Chain Warehouse Operative,All,,,
EPA0057,Future (Awards and Qualifications) Ltd,151,Senior Healthcare Support Worker,All,,,
EPA0091,ABC Awards,72,Bespoke Tailor and Cutter,All,,,
EPA0092,University of Chichester,25,Digital and Technology Solutions Professional,All,,,
EPA0041,DSW Consulting,143,Compliance / Risk Officer,All,,,
EPA0041,DSW Consulting,104,Operations/Departmental Manager,All,,,
EPA0041,DSW Consulting,7,Relationship Manager (Banking),All,,,
EPA0041,DSW Consulting,36,Public Service Operational Delivery Officer,All,,,
EPA0026,Chartered Management Institute,83,Junior Management Consultant,All,,,
EPA0058,iCQ,119,Adult Care Worker,All,,,
EPA0058,iCQ,118,Lead Adult Care Worker,All,,,
EPA0045,Occupational Awards Limited,152,Advanced Butcher,All,,,
EPA0045,Occupational Awards Limited,54,Butcher,All,,,
EPA0045,Occupational Awards Limited,177,Baker,All,,,
EPA0045,Occupational Awards Limited,149,Advanced Dairy Technologist,All,,,
EPA0022,Innovate Awarding Limited,169,Chef De Partie,All,,,
EPA0093,CABWI Awarding Body,27,Water Process Technician,All,,,
EPA0094,TUV UK Ltd,94,Welding,All,,,
EPA0094,TUV UK Ltd,95,Welding,All,,,
EPA0044,The Colleges' Partnership Ltd,36,Public Service Operational Delivery Officer,All,,,
EPA0044,The Colleges' Partnership Ltd,82,Infrastructure Technician,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),102,Healthcare Assistant Practitioner,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),103,Healthcare Support Worker,All,,,
EPA0042,Highfield Awarding Body for Compliance (HABC),151,Senior Healthcare Support Worker,All,,,
EPA0095,Professional Assessment Ltd,139,Senior Chef Production Cooking ,All,,,
EPA0095,Professional Assessment Ltd,169,Chef de partie,All,,,
EPA0095,Professional Assessment Ltd,93,Commis Chef,All,,,
EPA0095,Professional Assessment Ltd,138,Hospitality Supervisor,All,,,
EPA0095,Professional Assessment Ltd,96,Hospitality Team Member,All,,,
EPA0096,University of Leeds,25,Digital and Technology Solutions Professional,All,,,
EPA0048,South West Councils,36,Public Service Operational Delivery Officer,All,,,
EPA0008,City and Guilds,180,Arborist,All,,,
EPA0008,City and Guilds,182,Forest Operative,All,,,
EPA0008,City and Guilds,181,Horticulture and Landscape Operative,All,,,
EPA0008,City and Guilds,135,Heavy Vehicle Service and Maintenance Technician,All,,,
EPA0016,Pearson Education Limited,110,Large Goods Vehicle (LGV) Driver,All,,,
EPA0016,Pearson Education Limited,109,Supply Chain Operator,All,,,
EPA0016,Pearson Education Limited,111,Supply Chain Warehouse Operative,All,,,
EPA0014,NOCN,171,Construction Steel Fixer,All,,,
EPA0014,NOCN,144,Senior Compliance / Risk Specialist,All,,,
EPA0097,International Compliance Association,143,Compliance / Risk Officer,All,,,
EPA0097,International Compliance Association,144,Senior Compliance / Risk Specialist,All,,,
EPA0061,Training Qualifications UK,122,Customer Service Practitioner,All,,,
EPA0045,Occupational Awards Limited,144,Senior Compliance / Risk Specialist,All,,,
EPA0045,Occupational Awards Limited,101,Retailer,All,,,
EPA0045,Occupational Awards Limited,111,Supply Chain Warehouse Operative,All,,,
EPA0099,Road Haulage Association,110,Large Goods Vehicle (LGV) Driver,All,,,
EPA0090,BPEC Certification Ltd,74,Gas Engineering,All,Changed to All England 23/11/2017@BPEC request,,
