"","assessment_organisation_standard_guide","assessment_organisation","assessment_organisations_standard_code","assessment_organisation_delivery_area","start_date","end_date"
"56",56,"EPA0008","36",1,NA,NA
"57",57,"EPA0008","36",1,NA,NA
"58",58,"EPA0008","36",1,NA,NA
"59",59,"EPA0008","36",1,NA,NA
"60",60,"EPA0008","36",1,NA,NA
"61",61,"EPA0008","36",1,NA,NA
"62",62,"EPA0008","36",1,NA,NA
"63",63,"EPA0008","49",1,NA,NA
"64",64,"EPA0008","49",1,NA,NA
"65",65,"EPA0008","2",1,NA,NA
"66",66,"EPA0008","2",1,NA,NA
"67",67,"EPA0008","2",1,NA,NA
"68",68,"EPA0008","60",1,NA,NA
"69",69,"EPA0008","60",1,NA,NA
"70",70,"EPA0008","63",1,NA,NA
"71",71,"EPA0008","63",1,NA,NA
"72",72,"EPA0008","29",1,NA,NA
"73",73,"EPA0008","29",1,NA,NA
"74",74,"EPA0008","29",1,NA,NA
"75",75,"EPA0008","30",1,NA,NA
"76",76,"EPA0008","33",1,NA,NA
"77",77,"EPA0008","33",1,NA,NA
"78",78,"EPA0008","82",1,NA,NA
"79",79,"EPA0008","82",1,NA,NA
"80",80,"EPA0008","82",1,NA,NA
"81",81,"EPA0008","104",1,NA,NA
"82",82,"EPA0008","104",1,NA,NA
"83",83,"EPA0008","104",1,NA,NA
"84",84,"EPA0008","104",1,NA,NA
"85",85,"EPA0008","104",1,NA,NA
"86",86,"EPA0008","104",1,NA,NA
"87",87,"EPA0008","104",1,NA,NA
"88",88,"EPA0008","104",1,NA,NA
"89",89,"EPA0008","104",8,NA,NA
"90",90,"EPA0008","104",1,NA,NA
"91",91,"EPA0008","104",1,NA,NA
"92",92,"EPA0008","104",1,NA,NA
"93",93,"EPA0008","104",1,NA,NA
"94",94,"EPA0008","104",1,NA,NA
"95",95,"EPA0008","104",NA,NA,NA
"96",96,"EPA0008","104",1,NA,NA
"97",97,"EPA0008","104",1,NA,NA
"98",98,"EPA0008","105",1,NA,NA
"99",99,"EPA0008","105",1,NA,NA
"100",100,"EPA0008","105",1,NA,NA
"101",101,"EPA0008","105",1,NA,NA
"102",102,"EPA0008","105",1,NA,NA
"103",103,"EPA0008","105",1,NA,NA
"104",104,"EPA0008","105",1,NA,NA
"105",105,"EPA0008","105",1,NA,NA
"106",106,"EPA0008","105",1,NA,NA
"107",107,"EPA0008","105",1,NA,NA
"108",108,"EPA0008","105",8,NA,NA
"109",109,"EPA0008","105",1,NA,NA
"110",110,"EPA0008","105",1,NA,NA
"111",111,"EPA0008","105",1,NA,NA
"112",112,"EPA0008","105",1,NA,NA
"113",113,"EPA0008","105",1,NA,NA
"114",114,"EPA0008","105",1,NA,NA
"115",115,"EPA0008","105",1,NA,NA
"116",116,"EPA0008","105",1,NA,NA
"117",117,"EPA0008","105",1,NA,NA
"118",118,"EPA0008","122",1,NA,NA
"119",119,"EPA0008","122",1,NA,NA
"120",120,"EPA0008","122",1,NA,NA
"121",121,"EPA0008","122",1,NA,NA
"122",122,"EPA0008","122",1,NA,NA
"123",123,"EPA0008","122",1,NA,NA
"124",124,"EPA0008","122",1,NA,NA
"125",125,"EPA0008","122",1,NA,NA
"126",126,"EPA0008","122",1,NA,NA
"127",127,"EPA0008","122",1,NA,NA
"128",128,"EPA0008","122",1,NA,NA
"129",129,"EPA0008","122",1,NA,NA
"130",130,"EPA0008","122",1,NA,NA
"131",131,"EPA0008","119",1,NA,NA
"132",132,"EPA0008","119",1,NA,NA
"133",133,"EPA0008","119",1,NA,NA
"134",134,"EPA0008","119",1,NA,NA
"135",135,"EPA0008","119",1,NA,NA
"136",136,"EPA0008","119",1,NA,NA
"137",137,"EPA0008","119",1,NA,NA
"138",138,"EPA0008","119",1,NA,NA
"139",139,"EPA0008","119",1,NA,NA
"140",140,"EPA0008","119",1,NA,NA
"141",141,"EPA0008","119",1,NA,NA
"142",142,"EPA0008","119",1,NA,NA
"143",143,"EPA0008","118",1,NA,NA
"144",144,"EPA0008","118",1,NA,NA
"145",145,"EPA0008","118",1,NA,NA
"146",146,"EPA0008","118",1,NA,NA
"147",147,"EPA0008","118",1,NA,NA
"148",148,"EPA0008","118",1,NA,NA
"149",149,"EPA0008","118",1,NA,NA
"150",150,"EPA0008","118",1,NA,NA
"151",151,"EPA0008","118",1,NA,NA
"152",152,"EPA0008","118",1,NA,NA
"153",153,"EPA0008","118",1,NA,NA
"154",154,"EPA0008","90",1,NA,NA
"155",155,"EPA0008","157",1,NA,NA
"156",156,"EPA0008","157",1,NA,NA
"157",157,"EPA0008","157",1,NA,NA
"158",158,"EPA0008","103",1,NA,NA
"159",159,"EPA0008","103",1,NA,NA
"160",160,"EPA0008","103",1,NA,NA
"161",161,"EPA0008","103",1,NA,NA
"162",162,"EPA0008","103",1,NA,NA
"163",163,"EPA0008","103",1,NA,NA
"164",164,"EPA0008","103",1,NA,NA
"165",165,"EPA0008","151",1,NA,NA
"166",166,"EPA0008","151",1,NA,NA
"167",167,"EPA0008","151",1,NA,NA
"168",168,"EPA0008","151",1,NA,NA
"169",169,"EPA0008","151",1,NA,NA
"170",170,"EPA0008","151",1,NA,NA
"171",171,"EPA0008","151",1,NA,NA
"172",172,"EPA0008","151",1,NA,NA
"173",173,"EPA0009","26",1,NA,NA
"174",174,"EPA0009","26",1,NA,NA
"175",175,"EPA0009","26",1,NA,NA
"176",176,"EPA0009","26",1,NA,NA
"177",177,"EPA0009","26",1,NA,NA
"178",178,"EPA0009","53",1,NA,NA
"179",179,"EPA0009","53",1,NA,NA
"180",180,"EPA0009","74",1,NA,NA
"181",181,"EPA0009","74",1,NA,NA
"182",182,"EPA0009","58",1,NA,NA
"183",183,"EPA0009","57",1,NA,NA
"184",184,"EPA0009","6",1,NA,NA
"185",185,"EPA0009","27",1,NA,NA
"186",186,"EPA0009","27",1,NA,NA
"187",187,"EPA0009","27",1,NA,NA
"188",188,"EPA0009","127",1,NA,NA
"189",189,"EPA0009","146",1,NA,NA
"190",190,"EPA0009","146",1,NA,NA
"191",191,"EPA0010","128",1,NA,NA
"192",192,"EPA0010","128",1,NA,NA
"193",193,"EPA0010","128",1,NA,NA
"194",194,"EPA0010","128",1,NA,NA
"195",195,"EPA0011","54",1,NA,NA
"196",196,"EPA0011","54",1,NA,NA
"197",197,"EPA0012","23",1,NA,NA
"198",198,"EPA0012","23",1,NA,NA
"199",199,"EPA0012","23",1,NA,NA
"200",200,"EPA0012","23",9,NA,NA
"201",201,"EPA0013","22",1,NA,NA
"202",202,"EPA0014","28",1,NA,NA
"203",203,"EPA0014","28",1,NA,NA
"204",204,"EPA0014","28",1,NA,NA
"205",205,"EPA0014","28",1,NA,NA
"206",206,"EPA0014","23",1,NA,NA
"207",207,"EPA0014","23",1,NA,NA
"208",208,"EPA0014","23",1,NA,NA
"209",209,"EPA0014","23",9,NA,NA
"210",210,"EPA0014","36",1,NA,NA
"211",211,"EPA0014","36",1,NA,NA
"212",212,"EPA0014","36",1,NA,NA
"213",213,"EPA0014","36",1,NA,NA
"214",214,"EPA0014","36",1,NA,NA
"215",215,"EPA0014","36",1,NA,NA
"216",216,"EPA0014","36",1,NA,NA
"217",217,"EPA0014","31",1,NA,NA
"218",218,"EPA0014","31",1,NA,NA
"219",219,"EPA0014","31",1,NA,NA
"220",220,"EPA0014","31",1,NA,NA
"221",221,"EPA0014","118",1,NA,NA
"222",222,"EPA0014","118",1,NA,NA
"223",223,"EPA0014","118",1,NA,NA
"224",224,"EPA0014","118",1,NA,NA
"225",225,"EPA0014","118",1,NA,NA
"226",226,"EPA0014","118",1,NA,NA
"227",227,"EPA0014","118",1,NA,NA
"228",228,"EPA0014","118",1,NA,NA
"229",229,"EPA0014","118",1,NA,NA
"230",230,"EPA0014","118",1,NA,NA
"231",231,"EPA0014","118",1,NA,NA
"232",232,"EPA0014","119",1,NA,NA
"233",233,"EPA0014","119",1,NA,NA
"234",234,"EPA0014","119",1,NA,NA
"235",235,"EPA0014","119",1,NA,NA
"236",236,"EPA0014","119",1,NA,NA
"237",237,"EPA0014","119",1,NA,NA
"238",238,"EPA0014","119",1,NA,NA
"239",239,"EPA0014","119",1,NA,NA
"240",240,"EPA0014","119",1,NA,NA
"241",241,"EPA0014","119",1,NA,NA
"242",242,"EPA0014","119",1,NA,NA
"243",243,"EPA0014","119",1,NA,NA
"244",244,"EPA0014","14",1,NA,NA
"245",245,"EPA0014","14",1,NA,NA
"246",246,"EPA0014","14",1,NA,NA
"247",247,"EPA0014","44",1,NA,NA
"248",248,"EPA0014","44",1,NA,NA
"249",249,"EPA0014","15",1,NA,NA
"250",250,"EPA0014","15",1,NA,NA
"251",251,"EPA0014","45",1,NA,NA
"252",252,"EPA0014","45",1,NA,NA
"253",253,"EPA0014","101",1,NA,NA
"254",254,"EPA0014","101",1,NA,NA
"255",255,"EPA0014","101",1,NA,NA
"256",256,"EPA0014","101",1,NA,NA
"257",257,"EPA0014","101",1,NA,NA
"258",258,"EPA0014","101",1,NA,NA
"259",259,"EPA0014","101",1,NA,NA
"260",260,"EPA0014","101",1,NA,NA
"261",261,"EPA0014","101",1,NA,NA
"262",262,"EPA0014","101",1,NA,NA
"263",263,"EPA0014","101",1,NA,NA
"264",264,"EPA0014","101",1,NA,NA
"265",265,"EPA0014","101",1,NA,NA
"266",266,"EPA0014","101",1,NA,NA
"267",267,"EPA0014","77",1,NA,NA
"268",268,"EPA0014","77",1,NA,NA
"269",269,"EPA0014","62",1,NA,NA
"270",270,"EPA0014","62",1,NA,NA
"271",271,"EPA0014","92",1,NA,NA
"272",272,"EPA0014","92",1,NA,NA
"273",273,"EPA0014","122",1,NA,NA
"274",274,"EPA0014","122",1,NA,NA
"275",275,"EPA0014","122",1,NA,NA
"276",276,"EPA0014","122",1,NA,NA
"277",277,"EPA0014","122",1,NA,NA
"278",278,"EPA0014","122",1,NA,NA
"279",279,"EPA0014","122",1,NA,NA
"280",280,"EPA0014","122",1,NA,NA
"281",281,"EPA0014","122",1,NA,NA
"282",282,"EPA0014","122",1,NA,NA
"283",283,"EPA0014","122",1,NA,NA
"284",284,"EPA0014","122",1,NA,NA
"285",285,"EPA0014","122",1,NA,NA
"286",286,"EPA0014","153",1,NA,NA
"287",287,"EPA0014","153",1,NA,NA
"288",288,"EPA0014","8",1,NA,NA
"289",289,"EPA0014","8",1,NA,NA
"290",290,"EPA0014","102",1,NA,NA
"291",291,"EPA0014","102",1,NA,NA
"292",292,"EPA0014","102",1,NA,NA
"293",293,"EPA0014","102",1,NA,NA
"294",294,"EPA0014","102",1,NA,NA
"295",295,"EPA0014","102",1,NA,NA
"296",296,"EPA0014","103",1,NA,NA
"297",297,"EPA0014","103",1,NA,NA
"298",298,"EPA0014","103",1,NA,NA
"299",299,"EPA0014","103",1,NA,NA
"300",300,"EPA0014","103",1,NA,NA
"301",301,"EPA0014","103",1,NA,NA
"302",302,"EPA0014","103",1,NA,NA
"303",303,"EPA0014","105",1,NA,NA
"304",304,"EPA0014","105",1,NA,NA
"305",305,"EPA0014","105",1,NA,NA
"306",306,"EPA0014","105",1,NA,NA
"307",307,"EPA0014","105",1,NA,NA
"308",308,"EPA0014","105",1,NA,NA
"309",309,"EPA0014","105",1,NA,NA
"310",310,"EPA0014","105",1,NA,NA
"311",311,"EPA0014","105",1,NA,NA
"312",312,"EPA0014","105",1,NA,NA
"313",313,"EPA0014","105",8,NA,NA
"314",314,"EPA0014","105",1,NA,NA
"315",315,"EPA0014","105",1,NA,NA
"316",316,"EPA0014","105",1,NA,NA
"317",317,"EPA0014","105",1,NA,NA
"318",318,"EPA0014","105",1,NA,NA
"319",319,"EPA0014","105",1,NA,NA
"320",320,"EPA0014","105",1,NA,NA
"321",321,"EPA0014","105",1,NA,NA
"322",322,"EPA0014","105",1,NA,NA
"323",323,"EPA0014","99",1,NA,NA
"324",324,"EPA0014","99",1,NA,NA
"325",325,"EPA0016","20",1,NA,NA
"326",326,"EPA0016","20",1,NA,NA
"327",327,"EPA0016","26",1,NA,NA
"328",328,"EPA0016","26",1,NA,NA
"329",329,"EPA0016","26",1,NA,NA
"330",330,"EPA0016","26",1,NA,NA
"331",331,"EPA0016","26",1,NA,NA
"332",332,"EPA0016","28",1,NA,NA
"333",333,"EPA0016","28",1,NA,NA
"334",334,"EPA0016","28",1,NA,NA
"335",335,"EPA0016","28",1,NA,NA
"336",336,"EPA0016","65",1,NA,NA
"337",337,"EPA0016","65",1,NA,NA
"338",338,"EPA0016","65",1,NA,NA
"339",339,"EPA0016","59",1,NA,NA
"340",340,"EPA0016","59",1,NA,NA
"341",341,"EPA0016","59",1,NA,NA
"342",342,"EPA0016","59",1,NA,NA
"343",343,"EPA0016","23",1,NA,NA
"344",344,"EPA0016","23",1,NA,NA
"345",345,"EPA0016","23",1,NA,NA
"346",346,"EPA0016","23",9,NA,NA
"347",347,"EPA0016","24",1,NA,NA
"348",348,"EPA0016","24",1,NA,NA
"349",349,"EPA0016","24",1,NA,NA
"350",350,"EPA0016","24",1,NA,NA
"351",351,"EPA0016","24",1,NA,NA
"352",352,"EPA0016","24",1,NA,NA
"353",353,"EPA0016","31",1,NA,NA
"354",354,"EPA0016","31",1,NA,NA
"355",355,"EPA0016","31",1,NA,NA
"356",356,"EPA0016","31",1,NA,NA
"357",357,"EPA0016","52",1,NA,NA
"358",358,"EPA0016","53",1,NA,NA
"359",359,"EPA0016","53",1,NA,NA
"360",360,"EPA0016","27",1,NA,NA
"361",361,"EPA0016","27",1,NA,NA
"362",362,"EPA0016","27",1,NA,NA
"363",363,"EPA0016","122",1,NA,NA
"364",364,"EPA0016","122",1,NA,NA
"365",365,"EPA0016","122",1,NA,NA
"366",366,"EPA0016","122",1,NA,NA
"367",367,"EPA0016","122",1,NA,NA
"368",368,"EPA0016","122",1,NA,NA
"369",369,"EPA0016","122",1,NA,NA
"370",370,"EPA0016","122",1,NA,NA
"371",371,"EPA0016","122",1,NA,NA
"372",372,"EPA0016","122",1,NA,NA
"373",373,"EPA0016","122",1,NA,NA
"374",374,"EPA0016","122",1,NA,NA
"375",375,"EPA0016","122",1,NA,NA
"376",376,"EPA0016","99",1,NA,NA
"377",377,"EPA0016","99",1,NA,NA
"378",378,"EPA0016","102",1,NA,NA
"379",379,"EPA0016","102",1,NA,NA
"380",380,"EPA0016","102",1,NA,NA
"381",381,"EPA0016","102",1,NA,NA
"382",382,"EPA0016","102",1,NA,NA
"383",383,"EPA0016","102",1,NA,NA
"384",384,"EPA0016","103",1,NA,NA
"385",385,"EPA0016","103",1,NA,NA
"386",386,"EPA0016","103",1,NA,NA
"387",387,"EPA0016","103",1,NA,NA
"388",388,"EPA0016","103",1,NA,NA
"389",389,"EPA0016","103",1,NA,NA
"390",390,"EPA0016","103",1,NA,NA
"391",391,"EPA0016","150",1,NA,NA
"392",392,"EPA0016","150",1,NA,NA
"393",393,"EPA0016","150",1,NA,NA
"394",394,"EPA0016","151",1,NA,NA
"395",395,"EPA0016","151",1,NA,NA
"396",396,"EPA0016","151",1,NA,NA
"397",397,"EPA0016","151",1,NA,NA
"398",398,"EPA0016","151",1,NA,NA
"399",399,"EPA0016","151",1,NA,NA
"400",400,"EPA0016","151",1,NA,NA
"401",401,"EPA0016","151",1,NA,NA
"402",402,"EPA0016","105",1,NA,NA
"403",403,"EPA0016","105",1,NA,NA
"404",404,"EPA0016","105",1,NA,NA
"405",405,"EPA0016","105",1,NA,NA
"406",406,"EPA0016","105",1,NA,NA
"407",407,"EPA0016","105",1,NA,NA
"408",408,"EPA0016","105",1,NA,NA
"409",409,"EPA0016","105",1,NA,NA
"410",410,"EPA0016","105",1,NA,NA
"411",411,"EPA0016","105",1,NA,NA
"412",412,"EPA0016","105",8,NA,NA
"413",413,"EPA0016","105",1,NA,NA
"414",414,"EPA0016","105",1,NA,NA
"415",415,"EPA0016","105",1,NA,NA
"416",416,"EPA0016","105",1,NA,NA
"417",417,"EPA0016","105",1,NA,NA
"418",418,"EPA0016","105",1,NA,NA
"419",419,"EPA0016","105",1,NA,NA
"420",420,"EPA0016","105",1,NA,NA
"421",421,"EPA0016","105",1,NA,NA
"422",422,"EPA0016","93",1,NA,NA
"423",423,"EPA0016","93",1,NA,NA
"424",424,"EPA0016","93",1,NA,NA
"425",425,"EPA0016","93",1,NA,NA
"426",426,"EPA0016","93",1,NA,NA
"427",427,"EPA0016","93",1,NA,NA
"428",428,"EPA0016","93",1,NA,NA
"429",429,"EPA0016","93",1,NA,NA
"430",430,"EPA0016","93",1,NA,NA
"431",431,"EPA0016","93",1,NA,NA
"432",432,"EPA0016","93",1,NA,NA
"433",433,"EPA0016","93",1,NA,NA
"434",434,"EPA0016","93",1,NA,NA
"435",435,"EPA0016","96",1,NA,NA
"436",436,"EPA0016","96",1,NA,NA
"437",437,"EPA0016","96",1,NA,NA
"438",438,"EPA0016","96",1,NA,NA
"439",439,"EPA0016","96",1,NA,NA
"440",440,"EPA0016","96",1,NA,NA
"441",441,"EPA0016","96",1,NA,NA
"442",442,"EPA0016","96",1,NA,NA
"443",443,"EPA0016","96",1,NA,NA
"444",444,"EPA0016","96",1,NA,NA
"445",445,"EPA0016","96",1,NA,NA
"446",446,"EPA0016","96",NA,NA,NA
"447",447,"EPA0016","101",1,NA,NA
"448",448,"EPA0016","101",1,NA,NA
"449",449,"EPA0016","101",1,NA,NA
"450",450,"EPA0016","101",1,NA,NA
"451",451,"EPA0016","101",1,NA,NA
"452",452,"EPA0016","101",1,NA,NA
"453",453,"EPA0016","101",1,NA,NA
"454",454,"EPA0016","101",1,NA,NA
"455",455,"EPA0016","101",1,NA,NA
"456",456,"EPA0016","101",1,NA,NA
"457",457,"EPA0016","101",1,NA,NA
"458",458,"EPA0016","101",1,NA,NA
"459",459,"EPA0016","101",1,NA,NA
"460",460,"EPA0016","101",1,NA,NA
"461",461,"EPA0016","119",1,NA,NA
"462",462,"EPA0016","119",1,NA,NA
"463",463,"EPA0016","119",1,NA,NA
"464",464,"EPA0016","119",1,NA,NA
"465",465,"EPA0016","119",1,NA,NA
"466",466,"EPA0016","119",1,NA,NA
"467",467,"EPA0016","119",1,NA,NA
"468",468,"EPA0016","119",1,NA,NA
"469",469,"EPA0016","119",1,NA,NA
"470",470,"EPA0016","119",1,NA,NA
"471",471,"EPA0016","119",1,NA,NA
"472",472,"EPA0016","119",1,NA,NA
"473",473,"EPA0016","87",1,NA,NA
"474",474,"EPA0016","87",1,NA,NA
"475",475,"EPA0016","87",1,NA,NA
"476",476,"EPA0016","86",1,NA,NA
"477",477,"EPA0016","86",1,NA,NA
"478",478,"EPA0016","86",1,NA,NA
"479",479,"EPA0016","123",1,NA,NA
"480",480,"EPA0016","123",1,NA,NA
"481",481,"EPA0016","138",1,NA,NA
"482",482,"EPA0016","138",1,NA,NA
"483",483,"EPA0016","138",1,NA,NA
"484",484,"EPA0016","138",1,NA,NA
"485",485,"EPA0016","138",1,NA,NA
"486",486,"EPA0016","138",1,NA,NA
"487",487,"EPA0016","138",1,NA,NA
"488",488,"EPA0016","138",1,NA,NA
"489",489,"EPA0016","138",1,NA,NA
"490",490,"EPA0016","138",1,NA,NA
"491",491,"EPA0016","138",1,NA,NA
"492",492,"EPA0016","138",1,NA,NA
"493",493,"EPA0016","118",1,NA,NA
"494",494,"EPA0016","118",1,NA,NA
"495",495,"EPA0016","118",1,NA,NA
"496",496,"EPA0016","118",1,NA,NA
"497",497,"EPA0016","118",1,NA,NA
"498",498,"EPA0016","118",1,NA,NA
"499",499,"EPA0016","118",1,NA,NA
"500",500,"EPA0016","118",1,NA,NA
"501",501,"EPA0016","118",1,NA,NA
"502",502,"EPA0016","118",1,NA,NA
"503",503,"EPA0016","118",1,NA,NA
"504",504,"EPA0016","104",1,NA,NA
"505",505,"EPA0016","104",1,NA,NA
"506",506,"EPA0016","104",1,NA,NA
"507",507,"EPA0016","104",1,NA,NA
"508",508,"EPA0016","104",1,NA,NA
"509",509,"EPA0016","104",1,NA,NA
"510",510,"EPA0016","104",1,NA,NA
"511",511,"EPA0016","104",1,NA,NA
"512",512,"EPA0016","104",8,NA,NA
"513",513,"EPA0016","104",1,NA,NA
"514",514,"EPA0016","104",1,NA,NA
"515",515,"EPA0016","104",1,NA,NA
"516",516,"EPA0016","104",1,NA,NA
"517",517,"EPA0016","104",1,NA,NA
"518",518,"EPA0016","104",NA,NA,NA
"519",519,"EPA0016","104",1,NA,NA
"520",520,"EPA0016","104",1,NA,NA
"521",521,"EPA0016","147",1,NA,NA
"522",522,"EPA0016","147",1,NA,NA
"523",523,"EPA0016","147",1,NA,NA
"524",524,"EPA0016","147",1,NA,NA
"525",525,"EPA0016","147",1,NA,NA
"526",526,"EPA0016","147",1,NA,NA
"527",527,"EPA0016","147",1,NA,NA
"528",528,"EPA0016","147",1,NA,NA
"529",529,"EPA0016","147",1,NA,NA
"530",530,"EPA0016","147",1,NA,NA
"531",531,"EPA0016","147",1,NA,NA
"532",532,"EPA0016","140",1,NA,NA
"533",533,"EPA0016","140",1,NA,NA
"534",534,"EPA0016","140",1,NA,NA
"535",535,"EPA0016","140",1,NA,NA
"536",536,"EPA0016","140",1,NA,NA
"537",537,"EPA0016","140",1,NA,NA
"538",538,"EPA0016","140",1,NA,NA
"539",539,"EPA0016","140",1,NA,NA
"540",540,"EPA0016","140",1,NA,NA
"541",541,"EPA0016","140",1,NA,NA
"542",542,"EPA0016","140",1,NA,NA
"543",543,"EPA0016","140",1,NA,NA
"544",544,"EPA0016","140",1,NA,NA
"545",545,"EPA0016","140",1,NA,NA
"546",546,"EPA0016","139",1,NA,NA
"547",547,"EPA0016","139",1,NA,NA
"548",548,"EPA0016","139",1,NA,NA
"549",549,"EPA0016","139",1,NA,NA
"550",550,"EPA0016","139",1,NA,NA
"551",551,"EPA0016","139",1,NA,NA
"552",552,"EPA0016","139",1,NA,NA
"553",553,"EPA0016","139",1,NA,NA
"554",554,"EPA0017","50",1,NA,NA
"555",555,"EPA0017","51",1,NA,NA
"556",556,"EPA0018","32",1,NA,NA
"557",557,"EPA0018","32",1,NA,NA
"558",558,"EPA0019","61",1,NA,NA
"559",559,"EPA0019","61",1,NA,NA
"560",560,"EPA0019","61",1,NA,NA
"561",561,"EPA0021","75",10,NA,NA
"562",562,"EPA0022","93",1,NA,NA
"563",563,"EPA0022","93",1,NA,NA
"564",564,"EPA0022","93",1,NA,NA
"565",565,"EPA0022","93",1,NA,NA
"566",566,"EPA0022","93",1,NA,NA
"567",567,"EPA0022","93",1,NA,NA
"568",568,"EPA0022","93",1,NA,NA
"569",569,"EPA0022","93",1,NA,NA
"570",570,"EPA0022","93",1,NA,NA
"571",571,"EPA0022","93",1,NA,NA
"572",572,"EPA0022","93",1,NA,NA
"573",573,"EPA0022","93",1,NA,NA
"574",574,"EPA0022","93",1,NA,NA
"575",575,"EPA0022","122",1,NA,NA
"576",576,"EPA0022","122",1,NA,NA
"577",577,"EPA0022","122",1,NA,NA
"578",578,"EPA0022","122",1,NA,NA
"579",579,"EPA0022","122",1,NA,NA
"580",580,"EPA0022","122",1,NA,NA
"581",581,"EPA0022","122",1,NA,NA
"582",582,"EPA0022","122",1,NA,NA
"583",583,"EPA0022","122",1,NA,NA
"584",584,"EPA0022","122",1,NA,NA
"585",585,"EPA0022","122",1,NA,NA
"586",586,"EPA0022","122",1,NA,NA
"587",587,"EPA0022","122",1,NA,NA
"588",588,"EPA0022","147",1,NA,NA
"589",589,"EPA0022","147",1,NA,NA
"590",590,"EPA0022","147",1,NA,NA
"591",591,"EPA0022","147",1,NA,NA
"592",592,"EPA0022","147",1,NA,NA
"593",593,"EPA0022","147",1,NA,NA
"594",594,"EPA0022","147",1,NA,NA
"595",595,"EPA0022","147",1,NA,NA
"596",596,"EPA0022","147",1,NA,NA
"597",597,"EPA0022","147",1,NA,NA
"598",598,"EPA0022","147",1,NA,NA
"599",599,"EPA0022","102",1,NA,NA
"600",600,"EPA0022","102",1,NA,NA
"601",601,"EPA0022","102",1,NA,NA
"602",602,"EPA0022","102",1,NA,NA
"603",603,"EPA0022","102",1,NA,NA
"604",604,"EPA0022","102",1,NA,NA
"605",605,"EPA0022","103",1,NA,NA
"606",606,"EPA0022","103",1,NA,NA
"607",607,"EPA0022","103",1,NA,NA
"608",608,"EPA0022","103",1,NA,NA
"609",609,"EPA0022","103",1,NA,NA
"610",610,"EPA0022","103",1,NA,NA
"611",611,"EPA0022","103",1,NA,NA
"612",612,"EPA0022","96",1,NA,NA
"613",613,"EPA0022","96",1,NA,NA
"614",614,"EPA0022","96",1,NA,NA
"615",615,"EPA0022","96",1,NA,NA
"616",616,"EPA0022","96",1,NA,NA
"617",617,"EPA0022","96",1,NA,NA
"618",618,"EPA0022","96",1,NA,NA
"619",619,"EPA0022","96",1,NA,NA
"620",620,"EPA0022","96",1,NA,NA
"621",621,"EPA0022","96",1,NA,NA
"622",622,"EPA0022","96",1,NA,NA
"623",623,"EPA0022","96",NA,NA,NA
"624",624,"EPA0022","104",1,NA,NA
"625",625,"EPA0022","104",1,NA,NA
"626",626,"EPA0022","104",1,NA,NA
"627",627,"EPA0022","104",1,NA,NA
"628",628,"EPA0022","104",1,NA,NA
"629",629,"EPA0022","104",1,NA,NA
"630",630,"EPA0022","104",1,NA,NA
